scenario,seed,method,mc_revenue,analytical_R
0,0,random_valid,70632.0869,51511.5590
0,0,perimeter_only,69469.3288,51660.4377
0,0,popularity_rank,70185.0671,52080.8271
0,0,greedy_swap,69943.5582,52137.6267
0,0,oracle,70965.6992,53015.1588
0,0,random_search,71120.3522,52397.9163
0,0,simulated_annealing,70284.1995,52472.5449
0,0,GA,71416.2608,52391.0992
0,1,random_valid,70960.8815,51511.5590
0,1,perimeter_only,70193.9531,51660.4377
0,1,popularity_rank,69876.2219,52080.8271
0,1,greedy_swap,70835.0262,52137.6267
0,1,oracle,71574.3233,53015.1588
0,1,random_search,71557.0231,52363.1492
0,1,simulated_annealing,70733.7690,52430.8718
0,1,GA,71674.2830,52353.7758
0,2,random_valid,71293.5803,51511.5590
0,2,perimeter_only,69986.8706,51660.4377
0,2,popularity_rank,69962.7312,52080.8271
0,2,greedy_swap,70262.3554,52137.6267
0,2,oracle,71444.7012,53015.1588
0,2,random_search,71476.0499,52342.0934
0,2,simulated_annealing,70871.2773,52540.5729
0,2,GA,71330.6519,52211.7606
0,3,random_valid,70925.1983,51511.5590
0,3,perimeter_only,69852.1950,51660.4377
0,3,popularity_rank,70008.2687,52080.8271
0,3,greedy_swap,70032.8247,52137.6267
0,3,oracle,71466.7153,53015.1588
0,3,random_search,71776.4752,52420.7913
0,3,simulated_annealing,70970.0628,52558.8621
0,3,GA,71785.2824,52256.1066
0,4,random_valid,71462.4118,51511.5590
0,4,perimeter_only,70174.4203,51660.4377
0,4,popularity_rank,70443.4960,52080.8271
0,4,greedy_swap,70469.7076,52137.6267
0,4,oracle,71658.2317,53015.1588
0,4,random_search,71748.5873,52359.5384
0,4,simulated_annealing,71744.4725,52304.6501
0,4,GA,71941.1635,52367.6486
0,5,random_valid,71207.4057,51511.5590
0,5,perimeter_only,70013.7023,51660.4377
0,5,popularity_rank,70168.8172,52080.8271
0,5,greedy_swap,69844.6667,52137.6267
0,5,oracle,71451.3236,53015.1588
0,5,random_search,71602.8518,52385.5840
0,5,simulated_annealing,71521.1196,52160.6743
0,5,GA,71520.4797,52257.2537
0,6,random_valid,70748.5727,51511.5590
0,6,perimeter_only,70252.4036,51660.4377
0,6,popularity_rank,70689.9730,52080.8271
0,6,greedy_swap,70705.6931,52137.6267
0,6,oracle,71447.1629,53015.1588
0,6,random_search,71449.5109,52356.1683
0,6,simulated_annealing,70736.3172,52499.8887
0,6,GA,71880.2015,52342.5356
0,7,random_valid,71183.2860,51511.5590
0,7,perimeter_only,70283.8920,51660.4377
