scenario,seed,method,mc_revenue,cf_revenue,analytical_R
0,0,random_valid,53113.3199,53096.0708,50763.3829
0,0,perimeter_only,52950.6680,52932.7670,51159.7369
0,0,popularity_rank,53337.6277,53317.5917,51966.3847
0,0,greedy_swap,53337.6277,53317.5917,51966.3847
0,0,oracle,53261.1237,53241.5051,52531.8562
0,0,random_search,53677.9425,53658.1851,51740.8779
0,0,simulated_annealing,53936.7431,53917.7208,51848.1009
0,0,simulated_annealing_popstart,53916.2539,53896.4937,52190.6863
0,0,GA,53733.2756,53713.5590,51820.2113
0,1,random_valid,53159.4414,53096.0708,50763.3829
0,1,perimeter_only,52994.2045,52932.7670,51159.7369
0,1,popularity_rank,53378.4963,53317.5917,51966.3847
0,1,greedy_swap,53378.4963,53317.5917,51966.3847
0,1,oracle,53303.1605,53241.5051,52531.8562
0,1,random_search,53728.1430,53667.1769,51915.3493
0,1,simulated_annealing,53912.0342,53851.6901,51924.6990
0,1,simulated_annealing_popstart,53936.4155,53875.3174,52197.4023
0,1,GA,53960.5563,53899.4754,51861.8914
0,2,random_valid,53108.8345,53096.0708,50763.3829
0,2,perimeter_only,52947.0513,52932.7670,51159.7369
0,2,popularity_rank,53328.5770,53317.5917,51966.3847
0,2,greedy_swap,53328.5770,53317.5917,51966.3847
0,2,oracle,53252.9929,53241.5051,52531.8562
0,2,random_search,53659.2155,53644.0129,51935.8062
0,2,simulated_annealing,53864.8155,53849.8244,51830.3989
0,2,simulated_annealing_popstart,53883.4219,53868.7050,52176.6707
0,2,GA,53876.7775,53861.9052,51847.3846
0,3,random_valid,53073.4842,53096.0708,50763.3829
0,3,perimeter_only,52909.1896,52932.7670,51159.7369
0,3,popularity_rank,53293.7675,53317.5917,51966.3847
0,3,greedy_swap,53293.7675,53317.5917,51966.3847
0,3,oracle,53218.8426,53241.5051,52531.8562
0,3,random_search,53631.1323,53655.4211,51876.6890
0,3,simulated_annealing,53924.5692,53947.4495,52029.8585
0,3,simulated_annealing_popstart,53913.5394,53936.2973,51967.7779
0,3,GA,53847.9062,53870.4303,51852.0168
0,4,random_valid,53109.2903,53096.0708,50763.3829
0,4,perimeter_only,52945.3906,52932.7670,51159.7369
0,4,popularity_rank,53331.5541,53317.5917,51966.3847
0,4,greedy_swap,53331.5541,53317.5917,51966.3847
0,4,oracle,53255.0004,53241.5051,52531.8562
0,4,random_search,53657.5548,53646.1357,51854.2150
0,4,simulated_annealing,53940.7644,53929.7597,51975.3435
0,4,simulated_annealing_popstart,53887.2184,53876.1551,52206.1201
0,4,GA,53907.3380,53896.8824,51803.4600
0,5,random_valid,53112.0178,53096.0708,50763.3829
0,5,perimeter_only,52950.2784,52932.7670,51159.7369
0,5,popularity_rank,53332.0909,53317.5917,51966.3847
0,5,greedy_swap,53332.0909,53317.5917,51966.3847
0,5,oracle,53256.9512,53241.5051,52531.8562
0,5,random_search,53666.6664,53649.7409,51874.0646
0,5,simulated_annealing,53885.3484,53868.1168,51818.0107
0,5,simulated_annealing_popstart,53879.1693,53861.5851,52182.0918
0,5,GA,53762.2370,53745.5890,51744.2908
0,6,random_valid,53084.9045,53096.0708,50763.3829
0,6,perimeter_only,52920.5829,52932.7670,51159.7369
0,6,popularity_rank,53303.9397,53317.5917,51966.3847
0,6,greedy_swap,53303.9397,53317.5917,51966.3847
0,6,oracle,53229.2589,53241.5051,52531.8562
0,6,random_search,53632.4554,53646.3086,51647.8933
0,6,simulated_annealing,53860.3634,53872.6426,52032.8182
0,6,simulated_annealing_popstart,53858.0539,53870.2055,52179.1930
0,6,GA,53884.5013,53896.1620,51832.3352
0,7,random_valid,53119.4356,53096.0708,50763.3829
0,7,perimeter_only,52956.6573,52932.7670,51159.7369
0,7,popularity_rank,53338.4575,53317.5917,51966.3847
0,7,greedy_swap,53338.4575,53317.5917,51966.3847
0,7,oracle,53263.0325,53241.5051,52531.8562
0,7,random_search,53668.8332,53646.6929,51895.6605
0,7,simulated_annealing,53897.0132,53874.6340,51878.1915
0,7,simulated_annealing_popstart,53912.3565,53889.7522,52187.6281
0,7,GA,53894.8292,53872.3959,51760.0088
0,8,random_valid,53157.9174,53096.0708,50763.3829
0,8,perimeter_only,52993.8430,52932.7670,51159.7369
0,8,popularity_rank,53378.5606,53317.5917,51966.3847
0,8,greedy_swap,53378.5606,53317.5917,51966.3847
0,8,oracle,53304.3206,53241.5051,52531.8562
0,8,random_search,53695.3632,53635.2760,51847.2763
0,8,simulated_annealing,54020.4429,53958.6744,51985.8575
0,8,simulated_annealing_popstart,53954.6127,53893.1461,52200.0743
0,8,GA,53942.3170,53880.8954,51786.6196
0,9,random_valid,53095.3813,53096.0708,50763.3829
0,9,perimeter_only,52933.1161,52932.7670,51159.7369
0,9,popularity_rank,53314.7032,53317.5917,51966.3847
0,9,greedy_swap,53314.7032,53317.5917,51966.3847
0,9,oracle,53239.8349,53241.5051,52531.8562
0,9,random_search,53712.9452,53713.8112,51929.5020
0,9,simulated_annealing,53891.2754,53889.2028,51999.2480
0,9,simulated_annealing_popstart,53927.3621,53925.5337,52075.1740
0,9,GA,53804.9274,53804.3912,51922.0804
1,0,random_valid,80123.8008,80076.1198,76911.7561
1,0,perimeter_only,79822.3930,79772.1806,77054.0942
1,0,popularity_rank,80164.6146,80118.5316,76691.6466
1,0,greedy_swap,80220.0352,80175.1160,77103.9511
1,0,oracle,80303.4084,80258.3775,78148.7789
1,0,random_search,80437.7578,80392.8931,76997.5612
1,0,simulated_annealing,80623.7377,80578.8618,76943.0447
1,0,simulated_annealing_popstart,80971.4248,80924.5815,77754.6866
1,0,GA,80729.0246,80685.2750,77135.8699
1,1,random_valid,80017.8457,80076.1198,76911.7561
1,1,perimeter_only,79714.5572,79772.1806,77054.0942
1,1,popularity_rank,80060.8568,80118.5316,76691.6466
1,1,greedy_swap,80117.4014,80175.1160,77103.9511
1,1,oracle,80201.8948,80258.3775,78148.7789
1,1,random_search,80364.2172,80420.9449,77178.2676
1,1,simulated_annealing,80459.5867,80518.6279,76958.3395
1,1,simulated_annealing_popstart,80733.5517,80791.2153,77275.4975
1,1,GA,80592.1651,80649.7452,77049.7776
1,2,random_valid,80149.2065,80076.1198,76911.7561
1,2,perimeter_only,79844.2512,79772.1806,77054.0942
1,2,popularity_rank,80192.2626,80118.5316,76691.6466
1,2,greedy_swap,80248.4818,80175.1160,77103.9511
1,2,oracle,80331.7267,80258.3775,78148.7789
1,2,random_search,80449.9308,80373.5586,77139.8964
1,2,simulated_annealing,80866.3949,80792.4557,77451.5400
1,2,simulated_annealing_popstart,80808.5619,80734.9587,77327.5612
1,2,GA,80575.4172,80499.6223,76739.1586
1,3,random_valid,80093.6381,80076.1198,76911.7561
1,3,perimeter_only,79789.1114,79772.1806,77054.0942
1,3,popularity_rank,80135.6925,80118.5316,76691.6466
1,3,greedy_swap,80192.5498,80175.1160,77103.9511
1,3,oracle,80276.2248,80258.3775,78148.7789
1,3,random_search,80397.4829,80378.8890,76640.5478
1,3,simulated_annealing,80717.3147,80699.8971,76958.4161
1,3,simulated_annealing_popstart,80822.7147,80807.3166,77224.8799
1,3,GA,80693.3439,80676.5548,76912.4565
1,4,random_valid,80049.1707,80076.1198,76911.7561
1,4,perimeter_only,79743.8151,79772.1806,77054.0942
1,4,popularity_rank,80092.3789,80118.5316,76691.6466
1,4,greedy_swap,80148.7611,80175.1160,77103.9511
1,4,oracle,80230.7340,80258.3775,78148.7789
1,4,random_search,80313.6340,80342.4377,76870.1784
1,4,simulated_annealing,80754.8168,80783.5020,77157.8447
1,4,simulated_annealing_popstart,80773.1668,80802.2505,77335.9578
1,4,GA,80666.0390,80694.7395,76999.2622
1,5,random_valid,80018.5808,80076.1198,76911.7561
1,5,perimeter_only,79713.6891,79772.1806,77054.0942
1,5,popularity_rank,80062.1492,80118.5316,76691.6466
1,5,greedy_swap,80120.0051,80175.1160,77103.9511
1,5,oracle,80202.9620,80258.3775,78148.7789
1,5,random_search,80350.1964,80405.0372,76941.8495
1,5,simulated_annealing,80560.4176,80616.5006,77070.7683
1,5,simulated_annealing_popstart,80751.0778,80805.8711,77304.6738
1,5,GA,80758.2817,80813.4915,77200.8581
1,6,random_valid,80143.3992,80076.1198,76911.7561
1,6,perimeter_only,79836.9013,79772.1806,77054.0942
1,6,popularity_rank,80186.3807,80118.5316,76691.6466
1,6,greedy_swap,80243.0344,80175.1160,77103.9511
1,6,oracle,80326.7712,80258.3775,78148.7789
1,6,random_search,80453.1707,80384.9568,77355.8228
1,6,simulated_annealing,80830.2691,80763.9107,77123.8366
1,6,simulated_annealing_popstart,80877.4532,80811.0035,77293.7525
1,6,GA,80692.8611,80624.7242,77006.8259
1,7,random_valid,80020.5268,80076.1198,76911.7561
1,7,perimeter_only,79716.9211,79772.1806,77054.0942
1,7,popularity_rank,80062.6827,80118.5316,76691.6466
1,7,greedy_swap,80119.5724,80175.1160,77103.9511
1,7,oracle,80203.5171,80258.3775,78148.7789
1,7,random_search,80385.4360,80440.6400,77104.5273
1,7,simulated_annealing,80549.8930,80604.5864,76966.7887
1,7,simulated_annealing_popstart,80734.6860,80789.6610,77534.3796
1,7,GA,80713.4617,80768.7659,77141.9122
1,8,random_valid,80088.8152,80076.1198,76911.7561
1,8,perimeter_only,79787.5143,79772.1806,77054.0942
1,8,popularity_rank,80129.8380,80118.5316,76691.6466
1,8,greedy_swap,80185.7292,80175.1160,77103.9511
1,8,oracle,80269.3851,80258.3775,78148.7789
1,8,random_search,80482.4175,80469.1566,77386.1207
1,8,simulated_annealing,80808.9450,80795.1861,77147.4095
1,8,simulated_annealing_popstart,80826.6754,80813.6399,77226.9850
1,8,GA,80696.1935,80682.3336,77316.9787
1,9,random_valid,80032.2319,80076.1198,76911.7561
1,9,perimeter_only,79726.1078,79772.1806,77054.0942
1,9,popularity_rank,80074.7260,80118.5316,76691.6466
1,9,greedy_swap,80130.6800,80175.1160,77103.9511
1,9,oracle,80212.3648,80258.3775,78148.7789
1,9,random_search,80330.8358,80374.0239,76628.1889
1,9,simulated_annealing,80597.8432,80644.3050,77072.8570
1,9,simulated_annealing_popstart,80793.6575,80840.1985,77337.7888
1,9,GA,80705.4074,80749.2302,76800.2280
2,0,random_valid,67866.8318,67888.5836,59752.5867
2,0,perimeter_only,68021.3473,68043.2788,60863.1189
2,0,popularity_rank,67752.2029,67772.7767,60344.5932
2,0,greedy_swap,67982.0664,68003.5797,60555.8134
2,0,oracle,68227.9207,68250.9502,61168.5389
2,0,random_search,68227.6975,68251.1051,60718.5308
2,0,simulated_annealing,68436.8309,68458.1567,59935.7172
2,0,simulated_annealing_popstart,68541.0503,68562.3826,60515.3370
2,0,GA,68565.1285,68585.3607,60808.0537
2,1,random_valid,67894.2724,67888.5836,59752.5867
2,1,perimeter_only,68050.5989,68043.2788,60863.1189
2,1,popularity_rank,67776.5312,67772.7767,60344.5932
2,1,greedy_swap,68010.4853,68003.5797,60555.8134
2,1,oracle,68258.4603,68250.9502,61168.5389
2,1,random_search,68233.2347,68226.2264,60885.7687
