scenario,search,setting,seed,heldout_fitness
0,ga,0.18|20|40,0,68564.467546
0,ga,0.18|20|40,1,68671.312867
0,ga,0.18|20|40,2,68564.470794
0,ga,0.18|30|25,0,68547.141166
0,ga,0.18|30|25,1,68601.885815
0,ga,0.18|30|25,2,68560.254515
0,ga,0.18|45|15,0,68564.968680
0,ga,0.18|45|15,1,68500.690576
0,ga,0.18|45|15,2,68595.933251
0,ga,0.1|20|40,0,68549.829796
0,ga,0.1|20|40,1,68661.284585
0,ga,0.1|20|40,2,68568.565568
0,ga,0.1|30|25,0,68585.665449
0,ga,0.1|30|25,1,68647.432556
0,ga,0.1|30|25,2,68581.074827
0,ga,0.1|45|15,0,68517.378624
0,ga,0.1|45|15,1,68595.168884
0,ga,0.1|45|15,2,68552.024642
0,ga,0.3|20|40,0,68499.428369
0,ga,0.3|20|40,1,68585.666421
0,ga,0.3|20|40,2,68567.623384
0,ga,0.3|30|25,0,68503.956622
0,ga,0.3|30|25,1,68625.438298
0,ga,0.3|30|25,2,68555.274607
0,ga,0.3|45|15,0,68619.947731
0,ga,0.3|45|15,1,68620.235454
0,ga,0.3|45|15,2,68535.739309
0,sa,0.1|0.001|0.8,0,68597.126412
0,sa,0.1|0.001|0.8,1,68538.170034
0,sa,0.1|0.001|0.8,2,68578.107819
0,sa,0.1|0.01|0.8,0,68533.014993
0,sa,0.1|0.01|0.8,1,68580.850474
0,sa,0.1|0.01|0.8,2,68558.118622
0,sa,0.1|0.1|0.8,0,68509.955646
0,sa,0.1|0.1|0.8,1,68431.782891
0,sa,0.1|0.1|0.8,2,68509.225316
0,sa,0.25|0.001|0.8,0,68554.848093
0,sa,0.25|0.001|0.8,1,68581.771467
0,sa,0.25|0.001|0.8,2,68720.449087
0,sa,0.25|0.01|0.5,0,68575.150139
0,sa,0.25|0.01|0.5,1,68659.546271
0,sa,0.25|0.01|0.5,2,68517.241794
0,sa,0.25|0.01|0.8,0,68512.284861
0,sa,0.25|0.01|0.8,1,68551.256131
0,sa,0.25|0.01|0.8,2,68686.606438
0,sa,0.25|0.01|0.95,0,68736.651102
0,sa,0.25|0.01|0.95,1,68462.463169
