layout,replicate,mc_seed,revenue
baseline,0,1000000,785037.1040
baseline,1,1000001,784958.7928
baseline,2,1000002,783789.3248
baseline,3,1000003,781682.7490
baseline,4,1000004,783159.0167
baseline,5,1000005,782526.7549
baseline,6,1000006,783981.3322
baseline,7,1000007,783749.0584
baseline,8,1000008,785978.9709
baseline,9,1000009,785661.4100
baseline,10,1000010,784881.1166
baseline,11,1000011,785045.3883
baseline,12,1000012,781291.4011
baseline,13,1000013,786000.3800
baseline,14,1000014,783147.3590
baseline,15,1000015,781838.0536
baseline,16,1000016,783500.1570
baseline,17,1000017,786025.8306
baseline,18,1000018,785188.3441
baseline,19,1000019,784711.7205
baseline,20,1000020,785245.1367
baseline,21,1000021,784289.8577
baseline,22,1000022,785558.9704
baseline,23,1000023,782280.1019
baseline,24,1000024,782966.2007
baseline,25,1000025,782174.3762
baseline,26,1000026,782776.6967
baseline,27,1000027,784780.9494
baseline,28,1000028,785559.8965
baseline,29,1000029,782603.4993
transferred|GA|0,0,1000000,791235.6185
transferred|GA|0,1,1000001,791101.3317
transferred|GA|0,2,1000002,789935.0217
transferred|GA|0,3,1000003,787865.5853
transferred|GA|0,4,1000004,789346.8129
transferred|GA|0,5,1000005,788650.5336
transferred|GA|0,6,1000006,790130.6311
transferred|GA|0,7,1000007,789958.8222
transferred|GA|0,8,1000008,792121.9467
transferred|GA|0,9,1000009,791869.3527
transferred|GA|0,10,1000010,791050.8582
transferred|GA|0,11,1000011,791199.6176
transferred|GA|0,12,1000012,787430.0246
transferred|GA|0,13,1000013,792137.0313
transferred|GA|0,14,1000014,789336.1379
transferred|GA|0,15,1000015,788024.3396
transferred|GA|0,16,1000016,789680.8007
transferred|GA|0,17,1000017,792259.6345
transferred|GA|0,18,1000018,791386.0560
transferred|GA|0,19,1000019,790929.0511
transferred|GA|0,20,1000020,791373.5610
transferred|GA|0,21,1000021,790454.0773
transferred|GA|0,22,1000022,791795.8882
transferred|GA|0,23,1000023,788417.5886
transferred|GA|0,24,1000024,789139.5931
transferred|GA|0,25,1000025,788365.3932
