seed,method,promised_lift,promised_pct,transferred_lift,transferred_pct,hindsight_lift,hindsight_pct,transfer_ratio,transferred_mc_lift,hindsight_mc_lift
0,GA,20246.460668,2.674510,6182.157494,0.788489,12695.660363,1.619240,0.486950,6175.642221,12691.485667
0,random_search,20320.312444,2.684265,7950.929325,1.014084,10572.230489,1.348412,0.752058,7943.927053,10567.612648
0,simulated_annealing,14125.069831,1.865888,624.450601,0.079644,10110.623607,1.289537,0.061762,621.608829,10102.411231
1,GA,20154.287669,2.662334,6960.223789,0.887726,13153.191551,1.677594,0.529166,6951.904155,13148.862633
1,random_search,19023.167389,2.512915,3924.841192,0.500585,9627.524821,1.227921,0.407669,3914.959359,9620.987432
1,simulated_annealing,16639.395455,2.198025,5359.921285,0.683619,8584.197706,1.094852,0.624394,5349.027721,8576.618128
2,GA,19854.591640,2.622745,8511.436325,1.085572,11519.178224,1.469188,0.738893,8503.212173,11518.160219
2,random_search,18953.945716,2.503771,9998.035885,1.275177,9998.035885,1.275177,1.000000,9989.743418,9989.743418
2,simulated_annealing,16250.354699,2.146633,5709.774454,0.728240,9332.899053,1.190344,0.611790,5700.334088,9326.915636
3,GA,20887.813019,2.759231,6245.350078,0.796549,11363.988334,1.449395,0.549574,6238.510841,11360.998551
3,random_search,19321.337187,2.552303,10452.941717,1.333197,10452.941717,1.333197,1.000000,10446.254709,10446.254709
3,simulated_annealing,17529.360757,2.315587,7081.903987,0.903246,10847.987505,1.383582,0.652831,7074.166303,10843.900091
4,GA,21164.880456,2.795831,8854.613669,1.129342,12601.215026,1.607194,0.702679,8846.449122,12596.942660
4,random_search,19145.476243,2.529072,4813.006037,0.613864,9286.274829,1.184397,0.518292,4801.106578,9280.668794
4,simulated_annealing,14266.712565,1.884599,6436.067686,0.820874,9166.687165,1.169145,0.702115,6427.316001,9160.490250
