replicate,n_invoices,n_absent_fixtures,anchor_score,stocked_invoice_share,whole_level_asbuilt,whole_level_ga,whole_level_rs,whole_level_sa,whole_lift,whole_pct_lift,stocked_level_asbuilt,stocked_level_ga,stocked_level_rs,stocked_level_sa,stocked_lift,stocked_pct_lift,whole_ga_minus_rs_gbp,whole_ga_minus_rs_pct,whole_ga_minus_sa_gbp,whole_ga_minus_sa_pct,stocked_ga_minus_rs_gbp,stocked_ga_minus_rs_pct,stocked_ga_minus_sa_gbp,stocked_ga_minus_sa_pct
0,40590,0,0.4389096186,0.802685,784652.538096,799039.019910,796512.429550,795669.563242,14386.481814,1.833484,17613.339256,17936.277082,17879.561924,17860.641842,322.937826,1.833484,2526.590360,0.317207,3369.456668,0.423474,56.715159,0.317207,75.635240,0.423474
1,39397,0,0.4258261511,0.794071,832803.332502,840661.047878,842201.389962,837624.405136,7857.715376,0.943526,17125.705660,17287.291133,17318.966613,17224.845838,161.585473,0.943526,-1540.342085,-0.182895,3036.642742,0.362530,-31.675480,-0.182895,62.445295,0.362530
2,38505,0,0.4403296847,0.800545,727683.721167,740942.528442,738694.516448,736922.220233,13258.807274,1.822056,17091.361325,17402.775555,17349.975713,17308.349174,311.414230,1.822056,2248.011994,0.304322,4020.308209,0.545554,52.799842,0.304322,94.426381,0.545554
3,39811,0,0.4387801579,0.786767,754906.623831,768900.517052,766589.853651,765432.872767,13993.893221,1.853725,16717.727585,17027.628289,16976.457668,16950.835835,309.900705,1.853725,2310.663402,0.301421,3467.644286,0.453030,51.170622,0.301421,76.792454,0.453030
4,39216,0,0.4221742933,0.795441,813791.055475,825607.953048,824398.248021,823195.062419,11816.897574,1.452080,16960.738833,17207.022338,17181.810103,17156.733744,246.283505,1.452080,1209.705027,0.146738,2412.890629,0.293113,25.212235,0.146738,50.288594,0.293113
5,37967,0,0.4202774807,0.790845,724254.886600,734926.542393,734146.311799,732076.068289,10671.655793,1.473467,16461.896075,16704.456660,16686.722468,16639.667026,242.560584,1.473467,780.230594,0.106277,2850.474104,0.389369,17.734192,0.106277,64.789633,0.389369
6,38324,0,0.4398566277,0.797777,761498.949675,775284.491267,772724.926412,771485.040092,13785.541592,1.810317,16719.448349,17022.123292,16965.925562,16938.702654,302.674942,1.810317,2559.564854,0.331239,3799.451175,0.492485,56.197730,0.331239,83.420637,0.492485
7,39340,0,0.4367446751,0.791713,807349.552966,822310.774386,819739.336502,818385.670604,14961.221420,1.853128,17121.408183,17438.689809,17384.157497,17355.450394,317.281626,1.853128,2571.437884,0.313690,3925.103782,0.479615,54.532312,0.313690,83.239414,0.479615
8,38831,0,0.4376928945,0.798821,789141.485490,803163.217189,800648.258042,799980.236161,14021.731698,1.776834,16823.955777,17122.889490,17069.272284,17055.030515,298.933713,1.776834,2514.959147,0.314115,3182.981028,0.397882,53.617206,0.314115,67.858975,0.397882
9,39284,0,0.4369387190,0.798849,818482.107653,833935.185194,831509.803731,829551.413657,15453.077541,1.888017,17196.516660,17521.189738,17470.231859,17429.085587,324.673078,1.888017,2425.381463,0.291684,4383.771537,0.528451,50.957880,0.291684,92.104152,0.528451
10,40043,0,0.4247812111,0.805010,752883.400038,763482.576899,762789.076664,760923.757360,10599.176861,1.407811,17697.097922,17946.239650,17929.938398,17886.092647,249.141727,1.407811,693.500235,0.090916,2558.819539,0.336278,16.301251,0.090916,60.147003,0.336278
11,38338,0,0.4382932700,0.790208,843799.303305,859482.570000,856487.090935,855136.916497,15683.266696,1.858649,16507.883794,16814.707399,16756.104578,16729.690094,306.823605,1.858649,2995.479065,0.349740,4345.653503,0.508182,58.602822,0.349740,85.017305,0.508182
