replicate,mc_seed,baseline_revenue,optimized_revenue,diff,rs_revenue,sa_revenue,diff_rs,diff_sa
0,1000000,666470.9183,678106.9392,11636.0209,676154.7122,676095.0733,1952.2270,2011.8660
1,1000001,666434.3976,678032.1480,11597.7504,676097.1566,676036.6667,1934.9914,1995.4813
2,1000002,665622.8163,677212.5653,11589.7490,675273.4568,675218.2941,1939.1085,1994.2712
3,1000003,663976.3105,675564.5449,11588.2345,673638.0721,673568.0587,1926.4728,1996.4863
4,1000004,665067.6365,676706.6753,11639.0389,674768.1791,674695.4697,1938.4962,2011.2056
5,1000005,664586.9426,676160.2535,11573.3110,674229.5821,674168.9013,1930.6714,1991.3522
6,1000006,665552.8956,677137.2422,11584.3466,675222.8077,675158.3175,1914.4345,1978.9246
7,1000007,665636.4899,677243.1797,11606.6897,675316.2132,675247.7884,1926.9664,1995.3912
8,1000008,667444.5698,679037.3047,11592.7349,677095.7181,677022.5549,1941.5866,2014.7498
9,1000009,666940.0965,678547.6076,11607.5112,676606.8729,676536.6287,1940.7347,2010.9789
10,1000010,666397.0496,678007.2389,11610.1893,676085.6707,676020.2353,1921.5682,1987.0036
11,1000011,666504.3340,678157.3949,11653.0609,676198.8332,676137.9040,1958.5618,2019.4909
12,1000012,663509.8448,675083.7660,11573.9211,673152.3712,673095.0343,1931.3948,1988.7317
13,1000013,667304.6413,678905.7461,11601.1048,676979.4296,676908.7353,1926.3166,1997.0108
14,1000014,664955.7982,676533.6862,11577.8880,674600.3548,674537.4242,1933.3314,1996.2621
15,1000015,664013.8565,675594.1318,11580.2754,673669.2843,673609.0069,1924.8475,1985.1249
16,1000016,665398.0380,677034.9043,11636.8663,675076.2676,675008.0064,1958.6367,2026.8979
17,1000017,667307.8589,678935.8967,11628.0377,676991.6738,676931.9437,1944.2228,2003.9529
18,1000018,666565.3683,678177.2785,11611.9102,676257.9911,676192.1823,1919.2873,1985.0961
19,1000019,666334.7669,677973.4291,11638.6621,676012.7194,675941.6857,1960.7096,2031.7434
20,1000020,666521.0333,678148.8471,11627.8138,676200.6999,676132.9750,1948.1472,2015.8721
21,1000021,666076.2252,677668.1010,11591.8757,675737.8465,675674.2399,1930.2545,1993.8611
22,1000022,666987.9167,678600.8723,11612.9556,676652.7620,676586.4620,1948.1103,2014.4103
23,1000023,664284.7194,675929.5095,11644.7902,674019.2595,673959.1401,1910.2500,1970.3694
24,1000024,664916.4410,676538.4408,11621.9998,674605.9125,674537.7996,1932.5283,2000.6412
25,1000025,664201.3113,675739.0371,11537.7257,673829.3837,673759.5839,1909.6534,1979.4531
26,1000026,664718.5953,676325.6025,11607.0072,674390.6987,674326.6093,1934.9037,1998.9932
27,1000027,666303.5723,677975.9478,11672.3756,676003.8332,675945.7407,1972.1146,2030.2072
28,1000028,666913.5170,678580.4307,11666.9137,676626.8317,676561.8590,1953.5990,2018.5716
29,1000029,664520.7604,676131.3012,11610.5409,674197.5542,674132.4778,1933.7471,1998.8234
