multiplier,search_seed,layout,replicate,mc_seed,revenue,cf_revenue
1,0,baseline,0,1000000,770561.2124,769612.7303
1,0,baseline,1,1000001,770380.0688,769612.7303
1,0,baseline,2,1000002,769530.2398,769612.7303
1,0,baseline,3,1000003,767274.1975,769612.7303
1,0,baseline,4,1000004,768885.9518,769612.7303
1,0,baseline,5,1000005,768225.7046,769612.7303
1,0,baseline,6,1000006,769513.9886,769612.7303
1,0,baseline,7,1000007,769425.5480,769612.7303
1,0,baseline,8,1000008,771405.8040,769612.7303
1,0,baseline,9,1000009,771196.5840,769612.7303
1,0,baseline,10,1000010,770346.8677,769612.7303
1,0,baseline,11,1000011,770497.9889,769612.7303
1,0,baseline,12,1000012,767038.1578,769612.7303
1,0,baseline,13,1000013,771448.0260,769612.7303
1,0,baseline,14,1000014,768706.2961,769612.7303
1,0,baseline,15,1000015,767540.7954,769612.7303
1,0,baseline,16,1000016,769062.4945,769612.7303
1,0,baseline,17,1000017,771641.9975,769612.7303
1,0,baseline,18,1000018,770721.0697,769612.7303
1,0,baseline,19,1000019,770123.7668,769612.7303
1,0,baseline,20,1000020,770594.2094,769612.7303
1,0,baseline,21,1000021,769989.2714,769612.7303
1,0,baseline,22,1000022,771025.3383,769612.7303
1,0,baseline,23,1000023,767732.1992,769612.7303
1,0,baseline,24,1000024,768412.2545,769612.7303
1,0,baseline,25,1000025,767752.3726,769612.7303
1,0,baseline,26,1000026,768435.6141,769612.7303
1,0,baseline,27,1000027,770195.9043,769612.7303
1,0,baseline,28,1000028,771020.0913,769612.7303
1,0,baseline,29,1000029,768244.7427,769612.7303
1,0,optimized,0,1000000,784507.7179,783565.3301
1,0,optimized,1,1000001,784385.7978,783565.3301
1,0,optimized,2,1000002,783472.2279,783565.3301
1,0,optimized,3,1000003,781208.8855,783565.3301
1,0,optimized,4,1000004,782839.9175,783565.3301
1,0,optimized,5,1000005,782185.0076,783565.3301
1,0,optimized,6,1000006,783449.9704,783565.3301
1,0,optimized,7,1000007,783417.8040,783565.3301
1,0,optimized,8,1000008,785374.1577,783565.3301
1,0,optimized,9,1000009,785131.2973,783565.3301
1,0,optimized,10,1000010,784358.9973,783565.3301
1,0,optimized,11,1000011,784475.5613,783565.3301
1,0,optimized,12,1000012,780929.3052,783565.3301
1,0,optimized,13,1000013,785448.0427,783565.3301
1,0,optimized,14,1000014,782653.3641,783565.3301
1,0,optimized,15,1000015,781407.4050,783565.3301
1,0,optimized,16,1000016,783011.3729,783565.3301
1,0,optimized,17,1000017,785617.0181,783565.3301
1,0,optimized,18,1000018,784703.2987,783565.3301
1,0,optimized,19,1000019,784081.6479,783565.3301
1,0,optimized,20,1000020,784569.8132,783565.3301
1,0,optimized,21,1000021,783942.9415,783565.3301
1,0,optimized,22,1000022,785076.6291,783565.3301
1,0,optimized,23,1000023,781672.8166,783565.3301
1,0,optimized,24,1000024,782339.1773,783565.3301
1,0,optimized,25,1000025,781696.0332,783565.3301
1,0,optimized,26,1000026,782409.5736,783565.3301
1,0,optimized,27,1000027,784159.8699,783565.3301
1,0,optimized,28,1000028,785005.7180,783565.3301
1,0,optimized,29,1000029,782175.8622,783565.3301
1,0,rs,0,1000000,782259.3522,781299.7477
1,0,rs,1,1000001,782118.7731,781299.7477
1,0,rs,2,1000002,781183.6780,781299.7477
1,0,rs,3,1000003,778944.7728,781299.7477
1,0,rs,4,1000004,780570.4031,781299.7477
1,0,rs,5,1000005,779910.4415,781299.7477
1,0,rs,6,1000006,781148.5736,781299.7477
1,0,rs,7,1000007,781134.0266,781299.7477
1,0,rs,8,1000008,783126.7399,781299.7477
1,0,rs,9,1000009,782855.1151,781299.7477
1,0,rs,10,1000010,782066.4077,781299.7477
1,0,rs,11,1000011,782195.8797,781299.7477
1,0,rs,12,1000012,778687.1635,781299.7477
1,0,rs,13,1000013,783161.4547,781299.7477
1,0,rs,14,1000014,780389.4787,781299.7477
1,0,rs,15,1000015,779128.6698,781299.7477
1,0,rs,16,1000016,780721.6232,781299.7477
1,0,rs,17,1000017,783369.0410,781299.7477
1,0,rs,18,1000018,782408.4110,781299.7477
1,0,rs,19,1000019,781800.9230,781299.7477
1,0,rs,20,1000020,782294.5739,781299.7477
1,0,rs,21,1000021,781695.8930,781299.7477
1,0,rs,22,1000022,782797.7985,781299.7477
1,0,rs,23,1000023,779407.1199,781299.7477
1,0,rs,24,1000024,780097.1828,781299.7477
1,0,rs,25,1000025,779459.5671,781299.7477
1,0,rs,26,1000026,780106.2499,781299.7477
1,0,rs,27,1000027,781929.7109,781299.7477
1,0,rs,28,1000028,782753.9199,781299.7477
1,0,rs,29,1000029,779906.4985,781299.7477
1,0,sa,0,1000000,780406.6425,779439.1671
1,0,sa,1,1000001,780278.3620,779439.1671
1,0,sa,2,1000002,779317.3311,779439.1671
1,0,sa,3,1000003,777085.5274,779439.1671
1,0,sa,4,1000004,778735.9118,779439.1671
1,0,sa,5,1000005,778016.0591,779439.1671
1,0,sa,6,1000006,779287.0802,779439.1671
1,0,sa,7,1000007,779265.4452,779439.1671
1,0,sa,8,1000008,781298.6499,779439.1671
1,0,sa,9,1000009,781032.8675,779439.1671
1,0,sa,10,1000010,780213.0468,779439.1671
1,0,sa,11,1000011,780323.8424,779439.1671
1,0,sa,12,1000012,776786.2518,779439.1671
1,0,sa,13,1000013,781297.2091,779439.1671
1,0,sa,14,1000014,778544.2683,779439.1671
1,0,sa,15,1000015,777274.8081,779439.1671
1,0,sa,16,1000016,778865.0894,779439.1671
1,0,sa,17,1000017,781478.3209,779439.1671
1,0,sa,18,1000018,780541.4446,779439.1671
1,0,sa,19,1000019,779957.2803,779439.1671
1,0,sa,20,1000020,780460.5061,779439.1671
1,0,sa,21,1000021,779871.5031,779439.1671
1,0,sa,22,1000022,780922.8157,779439.1671
1,0,sa,23,1000023,777524.9271,779439.1671
1,0,sa,24,1000024,778234.8251,779439.1671
1,0,sa,25,1000025,777596.3700,779439.1671
1,0,sa,26,1000026,778266.6656,779439.1671
1,0,sa,27,1000027,780069.9033,779439.1671
1,0,sa,28,1000028,780895.2148,779439.1671
1,0,sa,29,1000029,778064.6371,779439.1671
1,0,sa_k,0,1000000,787282.7457,786339.1969
1,0,sa_k,1,1000001,787161.4231,786339.1969
1,0,sa_k,2,1000002,786239.9457,786339.1969
1,0,sa_k,3,1000003,783984.5639,786339.1969
