search_seed,replicate,mc_seed,baseline_revenue,optimized_revenue,diff,rs_revenue,sa_revenue,diff_rs,diff_sa
0,0,1000000,1030251.3003,1046740.1255,16488.8252,1043685.7088,1041585.8359,3054.4167,5154.2896
0,1,1000001,1029829.6858,1046342.3290,16512.6433,1043284.5370,1041213.0898,3057.7920,5129.2392
0,2,1000002,1028655.3877,1045182.3841,16526.9964,1042125.9801,1040067.9297,3056.4040,5114.4544
0,3,1000003,1026160.8872,1042632.0166,16471.1294,1039557.9428,1037521.7997,3074.0738,5110.2169
0,4,1000004,1027609.5291,1044106.6713,16497.1422,1041066.8671,1039005.9950,3039.8042,5100.6763
0,5,1000005,1026960.4493,1043445.9488,16485.4994,1040402.9165,1038322.7459,3043.0323,5123.2029
0,6,1000006,1029037.9274,1045501.9750,16464.0477,1042417.1011,1040348.6725,3084.8739,5153.3025
0,7,1000007,1029353.4805,1045860.6053,16507.1248,1042764.9701,1040691.7233,3095.6353,5168.8820
0,8,1000008,1031743.2567,1048225.3719,16482.1152,1045154.9684,1043084.4809,3070.4035,5140.8910
0,9,1000009,1031577.8318,1048059.2452,16481.4133,1044996.7374,1042921.9568,3062.5078,5137.2884
0,10,1000010,1030826.4140,1047336.9441,16510.5301,1044262.9316,1042190.7883,3074.0125,5146.1558
0,11,1000011,1030820.4158,1047301.9027,16481.4870,1044197.1457,1042132.4149,3104.7570,5169.4878
0,12,1000012,1025577.5806,1042021.0312,16443.4506,1038992.5781,1036913.5496,3028.4531,5107.4816
0,13,1000013,1032616.0743,1049143.8668,16527.7924,1046062.4200,1043987.8559,3081.4468,5156.0109
0,14,1000014,1028007.2935,1044462.2134,16454.9199,1041399.6690,1039326.4521,3062.5444,5135.7613
0,15,1000015,1026914.6226,1043330.0724,16415.4498,1040288.7508,1038211.3409,3041.3215,5118.7315
0,16,1000016,1028950.6087,1045399.8917,16449.2830,1042369.9632,1040327.8212,3029.9285,5072.0706
0,17,1000017,1031942.7357,1048430.3450,16487.6094,1045346.3453,1043267.0035,3083.9998,5163.3415
0,18,1000018,1031085.6288,1047528.3112,16442.6824,1044516.3898,1042459.3964,3011.9214,5068.9148
0,19,1000019,1029896.2402,1046404.7638,16508.5236,1043350.6977,1041277.6779,3054.0661,5127.0860
0,20,1000020,1030522.7061,1046992.8464,16470.1402,1043931.1178,1041832.4175,3061.7286,5160.4289
0,21,1000021,1029935.2785,1046439.2058,16503.9272,1043355.7049,1041271.4221,3083.5008,5167.7837
0,22,1000022,1031880.2991,1048332.5340,16452.2349,1045209.2516,1043181.6404,3123.2824,5150.8936
0,23,1000023,1027341.8705,1043765.3884,16423.5179,1040749.2390,1038707.7579,3016.1494,5057.6305
0,24,1000024,1027873.9960,1044374.2923,16500.2963,1041288.7785,1039172.0223,3085.5138,5202.2700
0,25,1000025,1026574.0949,1043076.7886,16502.6937,1039996.6666,1037926.6006,3080.1220,5150.1880
0,26,1000026,1027544.5125,1044012.0312,16467.5186,1040948.9175,1038913.7840,3063.1137,5098.2472
0,27,1000027,1030310.6289,1046793.8309,16483.2020,1043758.4737,1041700.8263,3035.3572,5093.0046
0,28,1000028,1031936.5005,1048454.0334,16517.5329,1045356.8950,1043303.2807,3097.1384,5150.7526
0,29,1000029,1027375.2763,1043845.5640,16470.2877,1040813.4424,1038774.6690,3032.1217,5070.8950
1,0,1000000,1030251.3003,1046650.6004,16399.3001,1042635.5406,1038283.9649,4015.0598,8366.6355
1,1,1000001,1029829.6858,1046254.5442,16424.8584,1042226.4618,1037878.5074,4028.0824,8376.0368
1,2,1000002,1028655.3877,1045096.8060,16441.4183,1041084.0928,1036799.5400,4012.7132,8297.2660
1,3,1000003,1026160.8872,1042544.6581,16383.7709,1038523.3536,1034260.2619,4021.3045,8284.3962
1,4,1000004,1027609.5291,1044022.3465,16412.8174,1040012.1576,1035676.4643,4010.1889,8345.8822
1,5,1000005,1026960.4493,1043365.4019,16404.9525,1039318.6824,1035010.7570,4046.7194,8354.6449
1,6,1000006,1029037.9274,1045414.2799,16376.3525,1041336.3478,1037080.4654,4077.9321,8333.8145
1,7,1000007,1029353.4805,1045775.5561,16422.0756,1041692.7581,1037389.9727,4082.7980,8385.5834
1,8,1000008,1031743.2567,1048145.7285,16402.4718,1044108.0630,1039773.0728,4037.6655,8372.6557
1,9,1000009,1031577.8318,1047972.9887,16395.1569,1043916.6282,1039613.9524,4056.3605,8359.0363
1,10,1000010,1030826.4140,1047255.0528,16428.6388,1043214.9737,1038873.2812,4040.0791,8381.7716
1,11,1000011,1030820.4158,1047214.5951,16394.1793,1043131.4340,1038844.8628,4083.1611,8369.7323
1,12,1000012,1025577.5806,1041936.4162,16358.8356,1037925.4083,1033592.6998,4011.0079,8343.7164
1,13,1000013,1032616.0743,1049064.0656,16447.9913,1044987.1126,1040672.1084,4076.9530,8391.9572
1,14,1000014,1028007.2935,1044375.7730,16368.4795,1040336.5129,1036041.7128,4039.2600,8334.0602
1,15,1000015,1026914.6226,1043248.3102,16333.6876,1039211.3964,1034933.8132,4036.9138,8314.4970
1,16,1000016,1028950.6087,1045314.9817,16364.3730,1041313.1219,1037025.5457,4001.8598,8289.4360
1,17,1000017,1031942.7357,1048342.4491,16399.7134,1044279.3553,1039981.7823,4063.0937,8360.6668
1,18,1000018,1031085.6288,1047449.7231,16364.0943,1043462.2068,1039167.5163,3987.5163,8282.2068
1,19,1000019,1029896.2402,1046319.8489,16423.6087,1042285.0595,1037968.0721,4034.7894,8351.7767
1,20,1000020,1030522.7061,1046913.4360,16390.7299,1042848.9421,1038529.9013,4064.4939,8383.5347
1,21,1000021,1029935.2785,1046350.1669,16414.8884,1042282.6514,1037955.5142,4067.5155,8394.6527
1,22,1000022,1031880.2991,1048247.9325,16367.6334,1044181.3625,1039873.9132,4066.5700,8374.0193
1,23,1000023,1027341.8705,1043681.3081,16339.4376,1039687.9383,1035413.1969,3993.3698,8268.1113
1,24,1000024,1027873.9960,1044294.5388,16420.5427,1040207.2911,1035859.4772,4087.2477,8435.0616
1,25,1000025,1026574.0949,1042992.5595,16418.4646,1038938.2575,1034611.1055,4054.3020,8381.4539
1,26,1000026,1027544.5125,1043925.9460,16381.4335,1039922.2350,1035622.8475,4003.7110,8303.0985
1,27,1000027,1030310.6289,1046709.6149,16398.9859,1042704.5112,1038345.8761,4005.1037,8363.7388
1,28,1000028,1031936.5005,1048367.2386,16430.7381,1044304.7109,1039989.2467,4062.5276,8377.9919
1,29,1000029,1027375.2763,1043764.5638,16389.2874,1039788.2859,1035459.5171,3976.2779,8305.0467
2,0,1000000,1030251.3003,1046013.1226,15761.8223,1043440.4120,1040457.7759,2572.7107,5555.3467
2,1,1000001,1029829.6858,1045601.6698,15771.9841,1043058.1424,1040068.3237,2543.5274,5533.3461
2,2,1000002,1028655.3877,1044455.3974,15800.0098,1041882.7669,1038933.7569,2572.6305,5521.6406
2,3,1000003,1026160.8872,1041892.9244,15732.0371,1039335.1732,1036415.0637,2557.7512,5477.8606
2,4,1000004,1027609.5291,1043377.6967,15768.1676,1040829.1100,1037888.4358,2548.5867,5489.2610
2,5,1000005,1026960.4493,1042694.9856,15734.5362,1040147.8344,1037217.3794,2547.1511,5477.6062
2,6,1000006,1029037.9274,1044762.5530,15724.6256,1042162.3868,1039246.9719,2600.1662,5515.5811
2,7,1000007,1029353.4805,1045105.0892,15751.6087,1042516.6072,1039582.7811,2588.4820,5522.3081
2,8,1000008,1031743.2567,1047499.6702,15756.4135,1044914.7059,1041953.4554,2584.9644,5546.2149
2,9,1000009,1031577.8318,1047330.8442,15753.0124,1044751.4406,1041809.2684,2579.4036,5521.5758
2,10,1000010,1030826.4140,1046591.4235,15765.0095,1044011.2441,1041043.1980,2580.1794,5548.2255
2,11,1000011,1030820.4158,1046544.2951,15723.8793,1043942.2058,1041030.1708,2602.0893,5514.1242
2,12,1000012,1025577.5806,1041283.2499,15705.6694,1038737.9896,1035792.7067,2545.2604,5490.5432
2,13,1000013,1032616.0743,1048400.7896,15784.7153,1045805.6499,1042871.2429,2595.1397,5529.5467
2,14,1000014,1028007.2935,1043743.8752,15736.5817,1041156.5475,1038215.0671,2587.3276,5528.8081
2,15,1000015,1026914.6226,1042598.7032,15684.0806,1040032.9681,1037097.5305,2565.7351,5501.1727
2,16,1000016,1028950.6087,1044664.5448,15713.9361,1042133.3586,1039218.2181,2531.1862,5446.3267
2,17,1000017,1031942.7357,1047679.3785,15736.6428,1045099.5916,1042163.3091,2579.7869,5516.0694
2,18,1000018,1031085.6288,1046798.2295,15712.6007,1044285.0085,1041334.8274,2513.2210,5463.4022
2,19,1000019,1029896.2402,1045679.9696,15783.7294,1043101.8852,1040175.0293,2578.0843,5504.9403
2,20,1000020,1030522.7061,1046259.6731,15736.9669,1043675.7257,1040705.1728,2583.9474,5554.5003
2,21,1000021,1029935.2785,1045695.6993,15760.4207,1043110.9670,1040168.0167,2584.7323,5527.6825
2,22,1000022,1031880.2991,1047592.6560,15712.3570,1044975.1322,1042076.7449,2617.5238,5515.9111
2,23,1000023,1027341.8705,1043033.6462,15691.7757,1040499.5582,1037593.8743,2534.0881,5439.7719
2,24,1000024,1027873.9960,1043649.1403,15775.1442,1041025.5945,1038029.3506,2623.5458,5619.7897
2,25,1000025,1026574.0949,1042345.9396,15771.8447,1039751.0277,1036823.9169,2594.9119,5522.0227
2,26,1000026,1027544.5125,1043261.7374,15717.2249,1040725.8930,1037798.4990,2535.8444,5463.2385
