replicate,mc_seed,baseline_revenue,optimized_revenue,diff
0,7000,3902462.4346,4079641.5232,177179.0885
1,7001,3932592.1398,4096542.7046,163950.5648
2,7002,3888997.9385,4079687.5224,190689.5839
3,7003,3895988.2616,4098023.0593,202034.7977
4,7004,3873242.2293,4044425.2700,171183.0407
5,7005,3920415.0723,4075100.7258,154685.6535
6,7006,3918804.0093,4088059.9528,169255.9435
7,7007,3862845.6880,4075902.2645,213056.5766
8,7008,3904469.8564,4096200.5172,191730.6608
9,7009,3945200.1962,4088724.0449,143523.8487
10,7010,3949559.7784,4129711.1403,180151.3620
11,7011,3922750.6868,4080525.3649,157774.6781
12,7012,3932260.9604,4094853.3272,162592.3668
13,7013,3951920.2901,4122199.5018,170279.2117
14,7014,3942324.1175,4117770.0159,175445.8984
15,7015,3896347.9463,4058793.5344,162445.5882
16,7016,3914913.3765,4098545.5537,183632.1772
17,7017,3897724.2727,4059777.0022,162052.7295
18,7018,3870482.9847,4078484.9073,208001.9226
19,7019,3895741.0981,4082627.0845,186885.9864
20,7020,3897181.4548,4074651.5843,177470.1295
21,7021,3927619.4046,4087173.6302,159554.2256
22,7022,3891365.8731,4078441.1325,187075.2594
23,7023,3950047.6556,4129498.7909,179451.1352
24,7024,3964503.2226,4137343.1715,172839.9489
25,7025,3917697.6198,4097024.8553,179327.2355
26,7026,3940894.8514,4100342.4524,159447.6010
27,7027,3911906.1240,4087087.2753,175181.1513
28,7028,3892902.0385,4053211.6345,160309.5960
29,7029,3918230.4712,4082462.6082,164232.1371
