scenario,seed,oracle_R,grid_R,ga_true_R,ga_mc_fit,regret_pct,wall_seconds
0,0,53015.1588,52101.6238,52391.0992,71721.3558,1.177134,23.465
0,1,53015.1588,52101.6238,52335.4704,71824.2619,1.282064,23.384
0,2,53015.1588,52101.6238,52264.7590,71907.3011,1.415444,23.303
0,3,53015.1588,52101.6238,52196.5992,72074.2225,1.544010,23.340
0,4,53015.1588,52101.6238,52262.7529,71747.8326,1.419228,23.421
0,5,53015.1588,52101.6238,52350.1525,71620.9546,1.254370,23.718
0,6,53015.1588,52101.6238,51980.3188,71754.2301,1.951970,24.832
0,7,53015.1588,52101.6238,52466.9850,71925.6685,1.033994,23.552
0,8,53015.1588,52101.6238,52330.3645,71891.2358,1.291695,23.413
0,9,53015.1588,52101.6238,52342.5291,71614.0302,1.268750,23.402
1,0,78124.5246,76370.7053,76972.0412,107606.2873,1.475188,23.150
1,1,78124.5246,76370.7053,77077.2067,107635.3820,1.340575,23.215
1,2,78124.5246,76370.7053,77122.1194,107793.6886,1.283086,23.325
1,3,78124.5246,76370.7053,76895.5418,108001.0628,1.573108,23.601
1,4,78124.5246,76370.7053,76393.8147,107405.3150,2.215322,23.811
1,5,78124.5246,76370.7053,76982.7430,107510.8171,1.461489,23.254
1,6,78124.5246,76370.7053,76774.1485,107397.6004,1.728492,23.179
1,7,78124.5246,76370.7053,76875.5019,107876.7158,1.598759,23.276
1,8,78124.5246,76370.7053,76996.3001,107841.8456,1.444136,23.546
1,9,78124.5246,76370.7053,77351.5242,107334.6285,0.989447,23.387
2,0,61467.1145,60050.9434,61037.9119,91216.2903,0.698264,23.355
2,1,61467.1145,60050.9434,60922.0071,91188.0743,0.886828,23.172
2,2,61467.1145,60050.9434,61056.0879,91374.8958,0.668694,23.418
2,3,61467.1145,60050.9434,61052.3285,91344.5319,0.674810,23.170
2,4,61467.1145,60050.9434,60099.8865,91007.7824,2.224324,23.199
2,5,61467.1145,60050.9434,61037.3134,91266.1748,0.699238,23.189
2,6,61467.1145,60050.9434,60064.2758,91006.4278,2.282259,23.204
2,7,61467.1145,60050.9434,60897.5986,91395.3264,0.926538,23.525
2,8,61467.1145,60050.9434,61095.5564,91296.9700,0.604483,23.397
2,9,61467.1145,60050.9434,59857.8895,90906.2054,2.618026,23.308
3,0,55757.8726,54761.7585,54928.8979,75153.5939,1.486740,23.446
3,1,55757.8726,54761.7585,54759.3288,75164.9060,1.790857,23.440
3,2,55757.8726,54761.7585,54559.1137,75221.5387,2.149937,23.516
3,3,55757.8726,54761.7585,55007.7784,75343.9024,1.345271,23.556
3,4,55757.8726,54761.7585,54588.0348,75015.0857,2.098068,23.827
3,5,55757.8726,54761.7585,54724.6920,74920.2387,1.852977,23.599
3,6,55757.8726,54761.7585,54850.4717,74981.5239,1.627395,23.627
3,7,55757.8726,54761.7585,54839.9519,75212.5924,1.646262,23.453
3,8,55757.8726,54761.7585,54698.7007,75122.2038,1.899592,23.445
3,9,55757.8726,54761.7585,55044.1936,74929.2367,1.279961,23.424
4,0,97149.2854,95190.1148,95931.5747,104200.7028,1.253443,23.322
4,1,97149.2854,95190.1148,95902.1749,104261.3663,1.283705,23.222
4,2,97149.2854,95190.1148,96510.1430,104221.9027,0.657897,23.355
4,3,97149.2854,95190.1148,96053.0226,104577.8669,1.128431,23.250
4,4,97149.2854,95190.1148,96112.9713,103982.4406,1.066723,23.243
4,5,97149.2854,95190.1148,96221.7892,104086.2664,0.954712,23.204
4,6,97149.2854,95190.1148,95995.8160,104248.6509,1.187316,23.287
4,7,97149.2854,95190.1148,96331.5633,104356.7238,0.841717,23.258
4,8,97149.2854,95190.1148,95825.8638,104256.2186,1.362256,23.260
4,9,97149.2854,95190.1148,96068.7033,103989.5815,1.112290,23.251
5,0,79617.0635,78651.5188,79078.4010,91592.3890,0.676567,23.551
5,1,79617.0635,78651.5188,78680.9972,91638.4532,1.175711,23.637
5,2,79617.0635,78651.5188,78410.8357,91679.2961,1.515037,23.575
5,3,79617.0635,78651.5188,79221.6025,91861.7227,0.496704,23.532
5,4,79617.0635,78651.5188,78966.1208,91594.1572,0.817592,23.563
5,5,79617.0635,78651.5188,78891.3412,91573.3542,0.911516,23.572
5,6,79617.0635,78651.5188,78626.6891,91600.9642,1.243922,23.526
5,7,79617.0635,78651.5188,78746.3934,91793.8126,1.093572,23.620
5,8,79617.0635,78651.5188,78636.1950,91717.1125,1.231983,23.641
5,9,79617.0635,78651.5188,78922.3728,91357.4883,0.872540,23.622
