scenario,spearman_rho,spearman_p
0,0.032223,0.750285
1,0.253297,0.0109988
2,0.102754,0.309001
3,0.163192,0.104739
4,0.127189,0.2073
5,0.109187,0.279529
6,0.104518,0.300724
7,0.151215,0.133151
8,0.353579,0.000307808
9,0.143198,0.155225
10,0.020774,0.837454
11,-0.034839,0.730757
12,0.310483,0.00166726
13,-0.023534,0.816214
14,0.243720,0.0145444
15,0.284824,0.00407652
16,-0.001752,0.986196
17,0.131509,0.192155
18,0.406037,2.77294e-05
19,-0.123432,0.221145
20,0.053153,0.599429
21,0.113051,0.262759
22,0.364296,0.000194501
23,0.358116,0.00025395
24,0.366205,0.000178932
25,-0.108539,0.28241
26,0.235956,0.0181098
27,0.317960,0.0012654
28,0.175110,0.0814087
29,0.123948,0.219205
