scenario,seed,oracle_R,oracle_R_feasible,grid_R,ga_true_R,ga_mc_fit,regret_pct,wall_seconds
0,0,52428.2016,52428.2016,51564.2171,51752.0422,73044.3438,1.289686,27.256
0,1,52428.2016,52428.2016,51564.2171,51628.3196,73265.0890,1.525671,26.958
0,2,52428.2016,52428.2016,51564.2171,51916.4881,73215.9562,0.976027,26.407
0,3,52428.2016,52428.2016,51564.2171,51854.4303,73192.4326,1.094394,26.292
0,4,52428.2016,52428.2016,51564.2171,51803.7900,73253.8987,1.190984,26.393
0,5,52428.2016,52428.2016,51564.2171,51729.3767,73077.8150,1.332918,26.439
0,6,52428.2016,52428.2016,51564.2171,51889.2513,73232.7124,1.027978,26.702
0,7,52428.2016,52428.2016,51564.2171,51832.7166,73255.5144,1.135811,25.649
0,8,52428.2016,52428.2016,51564.2171,51764.4160,73200.6620,1.266085,25.781
0,9,52428.2016,52428.2016,51564.2171,51890.9991,73115.9158,1.024644,25.564
1,0,78067.1652,78067.1652,76221.1871,77125.1150,110175.1404,1.206718,26.887
1,1,78067.1652,78067.1652,76221.1871,77130.5943,110341.4047,1.199699,26.441
1,2,78067.1652,78067.1652,76221.1871,76709.5724,110204.3722,1.739006,25.965
1,3,78067.1652,78067.1652,76221.1871,76981.3741,110177.5247,1.390842,25.814
1,4,78067.1652,78067.1652,76221.1871,76760.6298,110240.4805,1.673604,25.970
1,5,78067.1652,78067.1652,76221.1871,77177.3717,110391.0088,1.139779,26.005
1,6,78067.1652,78067.1652,76221.1871,76616.2458,110166.0876,1.858553,26.240
1,7,78067.1652,78067.1652,76221.1871,77139.4032,110359.6602,1.188415,25.421
1,8,78067.1652,78067.1652,76221.1871,76941.9471,110157.6302,1.441346,25.447
1,9,78067.1652,78067.1652,76221.1871,76789.8282,110334.1226,1.636203,25.298
2,0,61134.4573,61134.4573,59742.7540,60828.0495,93485.2207,0.501203,27.101
2,1,61134.4573,61134.4573,59742.7540,60627.1935,93535.0152,0.829751,26.638
2,2,61134.4573,61134.4573,59742.7540,59817.5682,93377.8561,2.154087,26.332
2,3,61134.4573,61134.4573,59742.7540,60031.8776,93297.6608,1.803532,26.186
2,4,61134.4573,61134.4573,59742.7540,60137.8712,93351.5543,1.630155,26.255
2,5,61134.4573,61134.4573,59742.7540,60864.9688,93505.3622,0.440813,26.343
2,6,61134.4573,61134.4573,59742.7540,59732.8822,93386.9030,2.292611,26.642
2,7,61134.4573,61134.4573,59742.7540,60867.5747,93490.0344,0.436550,25.702
2,8,61134.4573,61134.4573,59742.7540,60231.6469,93373.3219,1.476762,25.708
2,9,61134.4573,61134.4573,59742.7540,59768.3665,93326.0716,2.234568,25.567
3,0,55227.7814,55109.4046,54317.9531,54285.9322,76771.6139,1.705390,27.546
3,1,55227.7814,55109.4046,54317.9531,54328.4444,76885.9854,1.628414,27.184
3,2,55227.7814,55109.4046,54317.9531,54251.0217,76730.8950,1.768602,26.418
3,3,55227.7814,55109.4046,54317.9531,54225.3971,76750.4093,1.815000,26.278
3,4,55227.7814,55109.4046,54317.9531,54325.4628,76835.3321,1.633813,26.352
3,5,55227.7814,55109.4046,54317.9531,54302.2771,76789.3538,1.675795,26.483
3,6,55227.7814,55109.4046,54317.9531,54252.6154,76826.0808,1.765716,26.681
3,7,55227.7814,55109.4046,54317.9531,54272.2116,76910.7275,1.730234,25.661
3,8,55227.7814,55109.4046,54317.9531,54521.5456,76701.3536,1.278769,25.791
3,9,55227.7814,55109.4046,54317.9531,54339.0264,76954.6209,1.609253,25.615
4,0,96771.1706,96771.1706,94875.5187,95860.6007,106441.8233,0.940952,25.397
4,1,96771.1706,96771.1706,94875.5187,95847.0740,106686.1527,0.954930,25.433
4,2,96771.1706,96771.1706,94875.5187,96022.3957,106624.4982,0.773758,25.438
4,3,96771.1706,96771.1706,94875.5187,95802.5484,106570.5756,1.000941,25.470
4,4,96771.1706,96771.1706,94875.5187,95766.1805,106637.4041,1.038522,25.380
4,5,96771.1706,96771.1706,94875.5187,95238.8224,106464.7490,1.583476,25.540
4,6,96771.1706,96771.1706,94875.5187,95985.4118,106631.2501,0.811976,25.366
4,7,96771.1706,96771.1706,94875.5187,95983.9910,106660.7819,0.813444,25.495
4,8,96771.1706,96771.1706,94875.5187,95597.8128,106401.0442,1.212508,25.501
4,9,96771.1706,96771.1706,94875.5187,95920.5090,106593.1765,0.879044,25.358
5,0,80033.6156,80033.6156,78888.8945,79898.1366,94101.4751,0.169278,25.462
5,1,80033.6156,80033.6156,78888.8945,79271.1476,94126.8381,0.952685,25.343
5,2,80033.6156,80033.6156,78888.8945,79323.9305,93995.3867,0.886734,25.463
5,3,80033.6156,80033.6156,78888.8945,79643.4285,94017.9549,0.487529,25.463
5,4,80033.6156,80033.6156,78888.8945,79389.7092,93962.3858,0.804545,25.376
5,5,80033.6156,80033.6156,78888.8945,79505.4047,94108.7018,0.659986,25.472
5,6,80033.6156,80033.6156,78888.8945,79054.6082,94038.6201,1.223245,25.384
5,7,80033.6156,80033.6156,78888.8945,79631.1648,94139.8690,0.502852,25.470
5,8,80033.6156,80033.6156,78888.8945,79547.4690,94038.5294,0.607428,25.506
5,9,80033.6156,80033.6156,78888.8945,79504.8711,93955.1663,0.660653,25.400
6,0,71649.1170,71282.5745,69713.0075,70322.4915,87694.9809,1.851559,25.383
6,1,71649.1170,71282.5745,69713.0075,70339.5822,87800.0371,1.827706,25.249
6,2,71649.1170,71282.5745,69713.0075,70563.8739,87907.7003,1.514664,25.280
6,3,71649.1170,71282.5745,69713.0075,70184.6202,87705.9141,2.043984,25.342
6,4,71649.1170,71282.5745,69713.0075,70326.4300,87962.8803,1.846062,25.253
6,5,71649.1170,71282.5745,69713.0075,70435.5246,87971.2400,1.693800,25.392
