scenario,seed,oracle_R,oracle_R_feasible,grid_R,ga_true_R,ga_mc_fit,ga_cf_R,regret_pct,wall_seconds
0,0,52531.8562,52531.8562,51564.2171,51820.2113,53700.3314,53713.5590,1.354692,28.894
0,1,52531.8562,52531.8562,51564.2171,51861.8914,53944.2150,53899.4754,1.275350,28.770
0,2,52531.8562,52531.8562,51564.2171,51847.3846,53850.4369,53861.9052,1.302965,28.674
0,3,52531.8562,52531.8562,51564.2171,51852.0168,53849.4359,53870.4303,1.294147,28.956
0,4,52531.8562,52531.8562,51564.2171,51803.4600,53910.4573,53896.8824,1.386580,28.575
0,5,52531.8562,52531.8562,51564.2171,51744.2908,53766.1825,53745.5890,1.499215,28.543
0,6,52531.8562,52531.8562,51564.2171,51832.3352,53889.8435,53896.1620,1.331613,28.711
0,7,52531.8562,52531.8562,51564.2171,51760.0088,53881.8825,53872.3959,1.469294,28.797
0,8,52531.8562,52531.8562,51564.2171,51786.6196,53868.8088,53880.8954,1.418637,28.500
0,9,52531.8562,52531.8562,51564.2171,51922.0804,53803.7597,53804.3912,1.160773,28.374
1,0,78148.7789,78148.7789,76221.1871,77135.8699,80665.3954,80685.2750,1.296129,29.420
1,1,78148.7789,78148.7789,76221.1871,77049.7776,80716.9602,80649.7452,1.406294,29.280
1,2,78148.7789,78148.7789,76221.1871,76739.1586,80481.2104,80499.6223,1.803765,29.185
1,3,78148.7789,78148.7789,76221.1871,76912.4565,80645.5603,80676.5548,1.582011,29.316
1,4,78148.7789,78148.7789,76221.1871,76999.2622,80715.3218,80694.7395,1.470934,29.088
1,5,78148.7789,78148.7789,76221.1871,77200.8581,80844.4582,80813.4915,1.212969,28.302
1,6,78148.7789,78148.7789,76221.1871,77006.8259,80614.8306,80624.7242,1.461255,28.726
1,7,78148.7789,78148.7789,76221.1871,77141.9122,80782.9039,80768.7659,1.288397,28.734
1,8,78148.7789,78148.7789,76221.1871,77316.9787,80663.3396,80682.3336,1.064380,28.488
1,9,78148.7789,78148.7789,76221.1871,76800.2280,80748.7196,80749.2302,1.725620,28.231
2,0,61168.5389,61168.5389,59742.7540,60808.0537,68568.6789,68585.3607,0.589331,29.215
2,1,61168.5389,61168.5389,59742.7540,60677.9494,68620.6284,68563.4845,0.802029,28.893
2,2,61168.5389,61168.5389,59742.7540,60054.8170,68491.6057,68506.4929,1.820743,29.023
2,3,61168.5389,61168.5389,59742.7540,59948.3366,68426.9949,68453.8378,1.994820,28.695
2,4,61168.5389,61168.5389,59742.7540,60814.9370,68542.1482,68524.8708,0.578078,28.514
2,5,61168.5389,61168.5389,59742.7540,60801.1989,68613.8300,68587.7929,0.600538,28.337
2,6,61168.5389,61168.5389,59742.7540,59666.5481,68490.1458,68498.2404,2.455496,28.648
2,7,61168.5389,61168.5389,59742.7540,60822.2161,68609.3341,68597.9640,0.566178,28.713
2,8,61168.5389,61168.5389,59742.7540,60119.0948,68445.1004,68460.7703,1.715660,28.428
2,9,61168.5389,61168.5389,59742.7540,59784.3906,68439.9719,68440.5052,2.262843,28.271
3,0,55387.9968,55272.3212,54317.9531,54352.8566,56413.3945,56427.3273,1.868889,28.805
3,1,55387.9968,55272.3212,54317.9531,54330.2853,56421.3942,56373.9144,1.909640,28.421
3,2,55387.9968,55272.3212,54317.9531,54313.2572,56365.0373,56376.9961,1.940383,28.327
3,3,55387.9968,55272.3212,54317.9531,54282.8346,56283.6638,56305.9028,1.995310,28.667
3,4,55387.9968,55272.3212,54317.9531,54519.2593,56428.8284,56414.3381,1.568458,28.398
3,5,55387.9968,55272.3212,54317.9531,54085.9752,56369.6080,56347.5528,2.350729,28.439
3,6,55387.9968,55272.3212,54317.9531,54144.1642,56550.6180,56557.2543,2.245672,28.728
3,7,55387.9968,55272.3212,54317.9531,54198.4435,56402.9006,56393.9757,2.147673,28.594
3,8,55387.9968,55272.3212,54317.9531,54198.8806,56378.2619,56391.5980,2.146884,28.502
3,9,55387.9968,55272.3212,54317.9531,54442.3722,56521.7941,56522.6703,1.707273,28.342
4,0,96869.3571,96869.3571,94875.5187,96255.3298,77992.5214,78011.1413,0.633872,28.135
4,1,96869.3571,96869.3571,94875.5187,95871.8081,78150.3427,78085.6885,1.029788,28.464
4,2,96869.3571,96869.3571,94875.5187,95992.5405,78090.8854,78107.7685,0.905154,28.265
4,3,96869.3571,96869.3571,94875.5187,95658.1087,78022.6144,78053.5562,1.250394,28.355
4,4,96869.3571,96869.3571,94875.5187,96077.2676,78109.0991,78088.9344,0.817688,28.439
4,5,96869.3571,96869.3571,94875.5187,95715.1981,78033.9144,78004.1718,1.191459,28.229
4,6,96869.3571,96869.3571,94875.5187,95901.5787,78033.5818,78042.6679,0.999055,28.398
4,7,96869.3571,96869.3571,94875.5187,96028.2301,78113.7484,78100.7544,0.868311,28.692
4,8,96869.3571,96869.3571,94875.5187,95515.4462,77923.6993,77941.6576,1.397667,28.657
