scenario,spearman_rho,spearman_p,spearman_rho_cf,spearman_p_cf
0,0.344254,0.000453018,0.344566,0.000447283
1,0.462706,1.25394e-06,0.463498,1.19596e-06
2,0.476376,5.44706e-07,0.475776,5.65444e-07
3,0.240420,0.0159776,0.240000,0.0161685
4,0.568161,7.03044e-10,0.568773,6.67825e-10
5,0.456454,1.81451e-06,0.456154,1.84664e-06
6,0.720564,2.87948e-17,0.720780,2.78871e-17
7,0.560912,1.282e-09,0.560564,1.31904e-09
8,0.678176,9.10471e-15,0.677828,9.50752e-15
9,0.351275,0.000339027,0.349991,0.000357666
10,0.406421,2.72031e-05,0.406685,2.68467e-05
11,0.449049,2.78454e-06,0.449733,2.67764e-06
12,0.151659,0.132003,0.151287,0.132965
13,0.604752,2.6791e-11,0.603936,2.89477e-11
14,0.528389,1.60238e-08,0.529181,1.51151e-08
15,0.675200,1.3159e-14,0.674815,1.37952e-14
16,0.512943,4.85771e-08,0.512607,4.97333e-08
17,0.744266,7.09068e-19,0.743294,8.31975e-19
18,0.492241,1.97559e-07,0.493693,1.79581e-07
19,-0.293465,0.00304365,-0.292301,0.00316749
20,0.516112,3.88662e-08,0.517336,3.56356e-08
21,0.613189,1.18767e-11,0.614389,1.05581e-11
22,0.537618,8.0402e-09,0.536022,9.07215e-09
23,0.411977,2.05618e-05,0.410729,2.19055e-05
24,0.540774,6.32058e-09,0.542502,5.53449e-09
25,0.610345,1.56663e-11,0.610537,1.53774e-11
26,0.282808,0.00435859,0.281188,0.00459773
27,0.195392,0.0513945,0.195500,0.0512633
28,0.521056,2.73166e-08,0.520204,2.90397e-08
29,0.741134,1.18378e-18,0.738590,1.78537e-18
